source_file,element,id_or_name,type,default_value,min,max,step,checked
index.html,input,fi,file,,,,,False
index.html,input,fi2,file,,,,,False
index.html,input,batchDoDeconv,checkbox,,,,,True
index.html,input,batchDoNIST,checkbox,,,,,True
index.html,input,batchDoAI,checkbox,,,,,True
index.html,input,batchUseExternalAI,checkbox,,,,,False
index.html,input,batchClearHistory,checkbox,,,,,True
index.html,input,batchSaveEachCSV,checkbox,,,,,True
index.html,input,batchSaveStandardCSVs,checkbox,,,,,True
index.html,input,batchSaveCombinedCSV,checkbox,,,,,True
index.html,input,batchStopOnError,checkbox,,,,,False
index.html,input,batchOutputDir,text,,,,,False
index.html,input,pRT,range,2,0,25,0.5,False
index.html,input,pTH,range,5000,1000,50000,1000,False
index.html,input,pDist,range,5,1,30,1,False
index.html,input,pHW,range,6,4,30,2,False
index.html,input,pCorr,range,0.85,0.5,0.98,0.01,False
index.html,input,pCT,range,1,0.5,10,0.5,False
index.html,input,pIonApex,range,500,50,10000,50,False
index.html,input,pTrace,range,200,10,5000,10,False
index.html,input,pSharp,range,5,1,20,0.5,False
index.html,input,pModelFrac,range,0.5,0.1,1,0.05,False
index.html,input,pModelMax,range,15,3,30,1,False
index.html,input,pBleed,checkbox,,,,,True
index.html,input,pSC,range,0,0,900,10,False
index.html,input,pTS,hidden,6,,,,False
index.html,input,pNC,hidden,8,,,,False
index.html,input,pPL,hidden,1,,,,False
index.html,input,deconvParamFile,file,,,,,False
index.html,input,nistBridgeURL,text,http://127.0.0.1:18789,,,,False
index.html,input,nistmsPath,text,,,,,False
index.html,input,nistPrelaunch,checkbox,,,,,True
index.html,input,nistResultFile,file,,,,,False
index.html,input,nistBatchSize,number,25,1,200,1,False
index.html,select,perfProfile,,,,,,False
index.html,input,nistPollInterval,number,0.03,0.005,1,0.005,False
index.html,input,nistCandidateCount,number,15,1,50,1,False
index.html,select,sampleMatrixType,,,,,,False
index.html,input,enableAICritic,checkbox,,,,,True
index.html,input,nistContinueOnError,checkbox,,,,,True
index.html,input,useOpenAIQC,checkbox,,,,,False
index.html,input,openaiApiKey,password,,,,,False
index.html,input,openaiModel,text,gpt-5.5,,,,False
index.html,select,openaiReasoningEffort,,,,,,False
index.html,input,idcMFhi,,800,,,,False
index.html,input,idcRMFhi,,800,,,,False
index.html,input,idcMFlo,,550,,,,False
index.html,input,idcRIwin,,20,,,,False
index.html,input,idcIS,,naphthalene-?d8|\bd8\b|deuterated,,,,False
index.html,select,idcReport,,,,,,False
index.html,select,idcPop,,,,,,False
